genomes,primary_dbxref,displayname,uniquename,stx1_subtype,stx2_subtype,isolation_host,strain,serotype,isolation_date,isolation_source,syndrome,isolation_location
public_2789413,genbank: JFJM00000000.1,EC1,EC1,undefined,undefined,Homo sapiens (human),EC1,undefined,2012-08-03,wound site,Necrotizing fasciitis,"Mississippi, USA"
public_2683376,genbank: ANVA00000000.1,KTE142,KTE142,undefined,undefined,Homo sapiens (human),KTE142,undefined,2010-01-01,undefined,undefined,Denmark
public_2644084,genbank: AMTF00000000.1,6.0172,6.0172,1a,undefined,Ovis aries (sheep),6.0172,O157:H7,2006-01-01,undefined,undefined,United States
public_2840948,genbank: JJMX00000000.1,BIDMC 83,BIDMC 83,undefined,undefined,Homo sapiens (human),BIDMC 83,undefined,2013-11-11,Urine,undefined,undefined
public_2607534,genbank: AIGR00000000.1,DEC10C,DEC10C,1a,undefined,Homo sapiens (human),DEC10C,O26:H11,1977-01-01,undefined,undefined,"Delaware, USA"
public_2726048,genbank: AQBK00000000.1,P0305260.13,P0305260.13,undefined,undefined,Homo sapiens (human),P0305260.13,undefined,undefined,Stool,undefined,Bangladesh
public_2749251,genbank: AVQR00000000.1,09BKT076207,09BKT076207,undefined,2c,Bos taurus (cow),09BKT076207,O157:H7,2009-01-01,undefined,undefined,Sweden
public_2568263,genbank: ADWT00000000.1,MS 124-1,MS 124-1,undefined,undefined,Homo sapiens (human),MS 124-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2816087,genbank: JHKM00000000.1,O157:H7 Str. 2011EL-2108,O157:H7 Str. 2011EL-2108,undefined,2c,undefined,2011EL-2108,O157:H7,undefined,undefined,undefined,United States
public_2571304,genbank: AFAI00000000.2,900105 (10e),900105 (10e),1a,undefined,Bos taurus (cow),900105 10E,undefined,1990-01-01,undefined,undefined,United States
public_2763257,genbank: AXUC00000000.1,A35218R,A35218R,undefined,undefined,Homo sapiens (human),A35218R,undefined,undefined,undefined,undefined,undefined
public_2749323,genbank: AVQS00000000.1,B102,B102,1a,2a,Homo sapiens (human),B102,O157:H7,1998-01-01,undefined,undefined,"Washington, DC, USA"
public_2682010,genbank: ANTZ00000000.1,KTE236,KTE236,undefined,undefined,Homo sapiens (human),KTE236,undefined,2010-01-01,undefined,undefined,undefined
public_2606596,genbank: AIGF00000000.1,DEC8A,DEC8A,1a,undefined,Homo sapiens (human),DEC8A,O111a:NM,1977-01-01,undefined,undefined,"Maryland, USA"
public_2855418,genbank: JNOH00000000.1,CS04,CS04,undefined,undefined,Homo sapiens (human),CS04,undefined,2013-06-24,Human rectal sample,undefined,"Santa Clara, CA, USA"
public_2580026,genbank: AGTI00000000.1,O91:H21 Str. B2F1,O91:H21 Str. B2F1,undefined,undefined,Homo sapiens (human),B2F1,O91:H21,1985-01-01,patient with hemolytic uremic syndrome (HUS),Hemolytic-uremic syndrome,Canada
public_2738914,genbank: AQEW00000000.1,MP021552.8,MP021552.8,undefined,undefined,Homo sapiens (human),MP021552.8,undefined,undefined,Stool,undefined,Bangladesh
public_2601802,genbank: AIBZ00000000.1,C844_97,C844_97,undefined,undefined,Homo sapiens (human),C844_97,undefined,undefined,Stool,undefined,Japan
